epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29341,1.2552,3.42001,1.13565,0.72901,0.81551,0.86486,0.58923,1.00844,2.6036,1.05075,0.0002125,0.0002125,0.0002125
2,8.32098,1.11484,1.52759,1.05901,0.87559,0.77201,0.87083,0.61019,1.03436,1.43676,0.99777,0.000420181,0.000420181,0.000420181
3,12.3283,1.07625,1.25196,1.0448,0.90105,0.83534,0.95782,0.68942,0.97018,1.1095,0.9542,0.000610047,0.000610047,0.000610047
4,16.2639,1.04938,1.16233,1.02925,0.91141,0.91107,0.96228,0.6637,1.08956,0.91864,0.9928,0.000782099,0.000782099,0.000782099
5,20.1526,1.04752,0.99538,1.00967,0.96477,0.80704,0.93422,0.65131,1.09213,0.92437,0.99756,0.000936337,0.000936337,0.000936337
6,24.0441,1.04027,0.94785,1.02124,0.75961,0.80429,0.86115,0.59488,1.05787,1.21055,0.99462,0.00100258,0.00100258,0.00100258
7,27.9147,1.02799,0.87813,1.02046,0.90961,0.79819,0.84185,0.59927,1.0676,1.12855,1.00165,0.000953096,0.000953096,0.000953096
8,31.7898,1.06193,0.97408,1.03531,0.94629,0.78926,0.82477,0.60223,1.07063,1.37084,1.04084,0.000903612,0.000903612,0.000903612
9,35.697,0.99845,0.82305,1.00931,0.85353,0.7128,0.75599,0.53515,1.04609,1.68224,1.0256,0.000854128,0.000854128,0.000854128
10,39.7523,0.98625,0.8233,0.9919,0.91482,0.78666,0.84461,0.60654,1.04687,1.30391,1.03207,0.000804644,0.000804644,0.000804644
11,43.7603,1.01704,0.7639,1.00124,0.9258,0.70294,0.84372,0.60682,1.03881,1.253,0.99915,0.00075516,0.00075516,0.00075516
12,47.6599,0.97679,0.74031,0.98213,0.88553,0.78232,0.84359,0.61664,1.07181,1.40007,1.04729,0.000705676,0.000705676,0.000705676
13,51.54,0.94171,0.71259,0.97817,0.83944,0.76542,0.82164,0.6016,1.02694,1.39928,1.02251,0.000656192,0.000656192,0.000656192
14,55.4135,0.94578,0.68778,0.97582,0.88898,0.77917,0.8476,0.61568,1.0131,1.21207,1.01872,0.000606708,0.000606708,0.000606708
15,59.3611,0.93107,0.67188,0.9834,0.93684,0.77367,0.89337,0.64947,0.99061,1.0246,0.96557,0.000557224,0.000557224,0.000557224
16,80.517,0.86993,1.6766,0.91997,0.9368,0.74779,0.85031,0.62319,1.01003,1.14982,1.00268,0.00050774,0.00050774,0.00050774
17,84.3518,0.82907,0.85025,0.90263,0.91747,0.79688,0.86039,0.63778,1.00772,1.14718,0.99508,0.000458256,0.000458256,0.000458256
18,88.2948,0.83777,1.09438,0.90399,0.82167,0.77734,0.82845,0.61112,1.00819,1.43788,0.99705,0.000408772,0.000408772,0.000408772
19,92.1449,0.86299,0.5889,0.95546,0.91922,0.72745,0.84515,0.62406,0.98058,1.25673,0.96201,0.000359288,0.000359288,0.000359288
20,95.9945,0.86347,0.5953,0.9408,0.91983,0.78609,0.87434,0.6386,1.01273,1.17092,0.97232,0.000309804,0.000309804,0.000309804
21,99.8115,0.85612,0.50522,0.9412,0.95112,0.74849,0.88563,0.65582,0.98206,1.16775,0.97176,0.00026032,0.00026032,0.00026032
22,103.713,0.83675,0.56404,0.95401,0.94698,0.71185,0.83244,0.62156,0.99913,1.39582,0.98909,0.000210836,0.000210836,0.000210836
23,107.604,0.84147,0.50909,0.94728,0.90383,0.7499,0.83273,0.61638,1.00773,1.40551,0.98893,0.000161352,0.000161352,0.000161352
24,111.498,0.80996,0.49611,0.92487,0.92037,0.73653,0.83231,0.63335,0.99304,1.38718,0.97794,0.000111868,0.000111868,0.000111868
25,115.324,0.78671,0.47711,0.92557,0.93218,0.72693,0.83462,0.63172,0.9879,1.3932,0.97529,6.2384e-05,6.2384e-05,6.2384e-05
