epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.88078,1.21757,3.02788,1.1744,0.75082,0.856,0.90217,0.62086,1.01614,2.35502,1.0767,0.0002125,0.0002125,0.0002125
2,8.96811,1.10691,1.30525,1.08828,0.7306,0.66025,0.74985,0.506,1.11403,1.28376,1.10869,0.000420115,0.000420115,0.000420115
3,12.95,1.0956,1.17805,1.09418,0.72552,0.78712,0.88704,0.58563,1.03516,1.46634,1.12976,0.000609848,0.000609848,0.000609848
4,16.8997,1.04236,0.97673,1.08286,0.82738,0.74127,0.83147,0.54029,1.13801,1.42119,1.12891,0.0007817,0.0007817,0.0007817
5,20.7739,1.04963,0.93361,1.10633,0.78386,0.65422,0.81951,0.56233,1.07604,1.31336,1.0904,0.000935669,0.000935669,0.000935669
6,24.6767,1.05085,0.88489,1.08786,0.81716,0.75425,0.8221,0.55918,1.05886,1.1606,1.12138,0.00100164,0.00100164,0.00100164
7,28.7543,1.00291,0.83513,1.08456,0.86451,0.72157,0.79883,0.54644,1.12297,1.32438,1.18929,0.000951971,0.000951971,0.000951971
8,32.6125,0.93633,1.47223,1.0271,0.68553,0.71344,0.72609,0.49616,1.05346,1.576,1.16978,0.000902299,0.000902299,0.000902299
9,36.5026,0.9902,0.81057,1.09586,0.84577,0.80047,0.85395,0.58894,1.05598,1.13838,1.13704,0.000852628,0.000852628,0.000852628
10,40.4009,0.97479,0.77874,1.09374,0.88026,0.75333,0.81086,0.57316,1.09297,1.31105,1.22727,0.000802957,0.000802957,0.000802957
11,44.2979,0.95252,0.74165,1.08225,0.83808,0.75456,0.82479,0.59374,0.99926,1.23675,1.18177,0.000753285,0.000753285,0.000753285
12,48.1773,0.92631,0.68213,1.08528,0.82734,0.73795,0.81701,0.58767,1.0086,1.31779,1.16687,0.000703614,0.000703614,0.000703614
13,52.077,0.92798,0.65947,1.08675,0.93763,0.76965,0.86266,0.62496,0.96726,1.02682,1.12128,0.000653942,0.000653942,0.000653942
14,55.9633,0.93626,0.65722,1.06257,0.80856,0.66813,0.77555,0.56825,1.05471,1.55255,1.23337,0.000604271,0.000604271,0.000604271
15,59.9102,0.89498,0.64577,1.04452,0.90943,0.7399,0.85894,0.63282,0.997,1.17591,1.16178,0.000554599,0.000554599,0.000554599
16,80.9533,0.82981,1.46124,1.00133,0.93759,0.85842,0.95503,0.67826,0.98633,0.74086,1.1119,0.000504928,0.000504928,0.000504928
17,84.8349,0.82302,1.06166,0.99065,0.9268,0.88905,0.96035,0.69748,0.94473,0.70076,1.09253,0.000455256,0.000455256,0.000455256
18,88.7988,0.81799,0.80813,0.991,0.86859,0.78225,0.85864,0.6142,0.99309,1.02698,1.10748,0.000405584,0.000405584,0.000405584
19,92.7173,0.84088,0.56491,1.03091,0.94308,0.74882,0.85763,0.62587,0.99922,1.10212,1.14715,0.000355913,0.000355913,0.000355913
20,96.6328,0.86112,0.62803,1.03981,0.89967,0.77986,0.87035,0.64806,0.97283,1.04622,1.13239,0.000306242,0.000306242,0.000306242
21,100.471,0.83363,0.51394,1.03828,0.91216,0.75381,0.87509,0.64958,0.96368,1.08155,1.12287,0.00025657,0.00025657,0.00025657
22,104.373,0.82844,0.55566,1.05392,0.94711,0.78666,0.89549,0.66458,0.95705,1.0389,1.10985,0.000206899,0.000206899,0.000206899
23,108.214,0.82986,0.50841,1.04066,0.9638,0.76853,0.89783,0.67198,0.94912,1.06036,1.10541,0.000157227,0.000157227,0.000157227
24,112.105,0.79258,0.49344,1.01606,0.97105,0.7637,0.91098,0.68587,0.94819,1.02972,1.1033,0.000107555,0.000107555,0.000107555
25,115.978,0.77862,0.4719,1.01693,0.95385,0.77004,0.91982,0.69658,0.94522,1.01495,1.10063,5.7884e-05,5.7884e-05,5.7884e-05
