epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48342,1.42523,3.11611,1.16097,0.70633,0.79266,0.83809,0.58919,1.11803,2.52678,1.0894,0.0002125,0.0002125,0.0002125
2,8.51858,1.26597,1.3565,1.08392,0.82582,0.83272,0.90093,0.63042,1.13579,1.2185,1.03023,0.000420149,0.000420149,0.000420149
3,12.9439,1.19763,1.06664,1.07726,0.77852,0.77674,0.86433,0.61312,1.11605,1.18884,0.97266,0.000609952,0.000609952,0.000609952
4,17.8893,1.1465,0.99273,1.03614,0.87558,0.85791,0.90394,0.63138,1.16613,0.89044,0.98158,0.000781907,0.000781907,0.000781907
5,22.8731,1.17316,0.91303,1.02689,0.91219,0.67102,0.82773,0.58895,1.20254,1.25569,1.0004,0.000936017,0.000936017,0.000936017
6,26.7731,1.15247,0.86554,1.04042,0.85226,0.77653,0.84843,0.56683,1.24729,1.03867,1.01608,0.00100213,0.00100213,0.00100213
7,30.6631,1.16055,0.8099,1.03946,0.89155,0.81687,0.91761,0.65741,1.11322,0.87264,0.98906,0.000952556,0.000952556,0.000952556
8,34.6337,1.19012,0.82377,1.04373,0.78614,0.70104,0.75851,0.53013,1.2173,1.50383,1.06118,0.000902982,0.000902982,0.000902982
9,38.5401,1.11629,0.7355,1.02968,0.89109,0.78488,0.8613,0.63457,1.1596,1.19218,1.05211,0.000853408,0.000853408,0.000853408
10,42.4453,1.09736,0.73818,1.00415,0.94666,0.80895,0.86157,0.62797,1.18351,1.0208,1.05564,0.000803834,0.000803834,0.000803834
11,46.3385,1.09316,0.67912,0.99945,0.86557,0.75447,0.81723,0.60207,1.17763,1.35143,1.06633,0.00075426,0.00075426,0.00075426
12,50.246,1.09041,0.66804,0.99818,0.8866,0.83185,0.92033,0.67488,1.12214,0.8683,0.98614,0.000704686,0.000704686,0.000704686
13,54.2187,1.04486,0.65281,0.997,0.96605,0.73303,0.87389,0.65125,1.07573,0.98028,0.99715,0.000655112,0.000655112,0.000655112
14,58.1437,1.03286,0.62974,0.9944,0.91037,0.7949,0.91861,0.66622,1.10618,0.88021,0.98075,0.000605538,0.000605538,0.000605538
15,62.0792,1.03909,0.59862,0.99789,0.92351,0.92488,0.97027,0.71421,1.09138,0.65192,0.98256,0.000555964,0.000555964,0.000555964
16,83.5829,0.96644,1.08993,0.93594,0.9371,0.78006,0.90754,0.67097,1.11872,0.97027,1.00897,0.00050639,0.00050639,0.00050639
17,87.4032,0.93931,0.94403,0.93241,0.93375,0.83605,0.90333,0.65525,1.15379,0.88305,1.03191,0.000456816,0.000456816,0.000456816
18,91.339,0.94142,0.76734,0.93262,0.95099,0.77204,0.86469,0.6378,1.13364,1.05194,1.01583,0.000407242,0.000407242,0.000407242
19,95.194,0.97588,0.59985,0.98381,0.90265,0.78404,0.88565,0.64026,1.10851,1.06058,1.002,0.000357668,0.000357668,0.000357668
20,99.0624,0.98322,0.6137,0.97187,0.93464,0.78118,0.88317,0.65361,1.10695,0.96315,1.00166,0.000308094,0.000308094,0.000308094
21,102.948,0.93879,0.48449,0.95841,0.91268,0.80145,0.88187,0.65939,1.10666,0.99595,1.0103,0.00025852,0.00025852,0.00025852
22,106.805,0.94329,0.57672,0.9781,0.94777,0.77445,0.88487,0.65718,1.1219,1.02781,1.02174,0.000208946,0.000208946,0.000208946
23,110.652,0.93025,0.45981,0.96743,0.91964,0.77365,0.86952,0.64358,1.14059,1.09547,1.02943,0.000159372,0.000159372,0.000159372
24,114.517,0.9049,0.45125,0.94385,0.94225,0.76352,0.86562,0.6475,1.13195,1.12121,1.02529,0.000109798,0.000109798,0.000109798
25,118.454,0.86421,0.43566,0.9467,0.92368,0.75979,0.86648,0.64808,1.10975,1.10618,1.01622,6.0224e-05,6.0224e-05,6.0224e-05
