epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.4567,1.28776,2.75442,1.14912,0.68519,0.87649,0.863,0.59458,1.03551,1.83655,1.04145,0.0002125,0.0002125,0.0002125
2,8.51179,1.13104,1.31822,1.05073,0.88267,0.9342,0.9794,0.63931,1.1562,0.92785,1.0853,0.000420178,0.000420178,0.000420178
3,12.5055,1.16527,1.0287,1.08639,0.91802,0.84679,0.94078,0.64912,1.10161,0.92375,1.04003,0.00061004,0.00061004,0.00061004
4,16.4251,1.12061,0.95124,1.07071,0.90267,0.78998,0.90228,0.60276,1.14658,0.9824,1.04746,0.000782084,0.000782084,0.000782084
5,20.3049,1.09907,0.99842,1.08682,0.85028,0.88847,0.95351,0.64777,1.12811,1.00105,1.02894,0.000936312,0.000936312,0.000936312
6,24.2444,1.08727,0.82265,1.07919,0.95866,0.89873,0.98336,0.65362,1.108,0.81125,1.08758,0.00100255,0.00100255,0.00100255
7,28.1528,1.07176,0.80349,1.07746,0.8701,0.87174,0.91194,0.62578,1.07026,0.84122,1.10362,0.000953054,0.000953054,0.000953054
8,32.0386,1.06803,0.76388,1.08676,0.9419,0.74035,0.86426,0.60528,1.08876,0.98473,1.08517,0.000903563,0.000903563,0.000903563
9,35.9177,1.01532,0.6792,1.0447,0.82467,0.886,0.94217,0.66851,1.02469,0.73895,1.0557,0.000854072,0.000854072,0.000854072
10,39.8431,1.03629,0.73124,1.0708,0.93094,0.78915,0.85812,0.60784,1.06869,1.03256,1.09118,0.000804581,0.000804581,0.000804581
11,43.6989,0.99395,0.65266,1.04949,0.87928,0.74822,0.8427,0.60641,1.05021,1.17254,1.09327,0.00075509,0.00075509,0.00075509
12,47.5683,0.96621,0.63677,1.03584,0.95553,0.80638,0.92962,0.67405,1.01795,0.72421,1.05237,0.000705599,0.000705599,0.000705599
13,51.4866,0.98045,0.61782,1.03287,0.87756,0.84142,0.90786,0.64763,1.03016,0.80687,1.05989,0.000656108,0.000656108,0.000656108
14,55.3773,0.9592,0.60541,1.04406,0.95344,0.73847,0.90254,0.63597,1.04969,0.88599,1.09831,0.000606617,0.000606617,0.000606617
15,59.2528,0.96451,0.59082,1.01834,0.87107,0.84704,0.93424,0.65914,1.05583,0.78478,1.07422,0.000557126,0.000557126,0.000557126
16,80.0652,0.87564,1.78702,0.95571,0.96024,0.8743,0.96113,0.69347,1.02778,0.64698,1.05103,0.000507635,0.000507635,0.000507635
17,83.9392,0.8577,0.94431,0.94891,0.96836,0.85531,0.94184,0.68233,1.0071,0.7284,1.05934,0.000458144,0.000458144,0.000458144
18,87.7777,0.86277,0.88162,0.95556,0.94273,0.83167,0.90236,0.64633,1.0298,0.83659,1.06661,0.000408653,0.000408653,0.000408653
19,91.6234,0.87321,0.50839,0.9897,0.92569,0.74539,0.90256,0.63632,1.03946,0.9309,1.0885,0.000359162,0.000359162,0.000359162
20,95.4583,0.87572,0.49648,0.98201,0.95995,0.77383,0.87375,0.63072,1.05599,1.05,1.10814,0.000309671,0.000309671,0.000309671
21,99.4007,0.85593,0.46862,0.99622,0.92882,0.7612,0.85093,0.62273,1.05944,1.09424,1.11756,0.00026018,0.00026018,0.00026018
22,103.296,0.8539,0.47619,0.99247,0.93399,0.79278,0.88732,0.64441,1.04535,1.02315,1.09556,0.000210689,0.000210689,0.000210689
23,107.183,0.85971,0.45937,1.00596,0.94555,0.78764,0.88954,0.65763,1.02178,0.99012,1.08919,0.000161198,0.000161198,0.000161198
24,111.074,0.82632,0.44735,0.96735,0.93569,0.79177,0.88793,0.66341,1.01504,1.00678,1.0836,0.000111707,0.000111707,0.000111707
25,114.984,0.81682,0.44294,0.97497,0.9535,0.78596,0.88882,0.66638,1.01464,1.00959,1.08268,6.2216e-05,6.2216e-05,6.2216e-05
