epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48471,1.24634,2.97756,1.12542,0.75337,0.78037,0.90292,0.64644,0.98797,1.55007,0.98658,0.0002125,0.0002125,0.0002125
2,9.03935,1.10129,1.40926,1.0248,0.86037,0.88252,0.90794,0.62556,1.05763,0.94153,0.98589,0.000420175,0.000420175,0.000420175
3,13.9436,1.10688,1.08824,1.05151,0.8206,0.8544,0.95152,0.642,1.05725,1.08467,1.00089,0.00061003,0.00061003,0.00061003
4,18.9465,1.09471,1.10188,1.0584,0.79952,0.87754,0.94271,0.62729,1.10566,1.03103,1.02873,0.000782065,0.000782065,0.000782065
5,22.9254,1.0774,1.02803,1.08594,0.86142,0.88658,0.9778,0.66418,1.09039,0.94924,1.01811,0.00093628,0.00093628,0.00093628
6,26.8682,1.04358,0.92507,1.04392,0.82715,0.78384,0.92703,0.62226,1.09329,1.03163,1.04822,0.0010025,0.0010025,0.0010025
7,30.7729,1.0472,0.87202,1.04044,0.7796,0.70021,0.8476,0.56304,1.08551,1.18421,1.05037,0.000953,0.000953,0.000953
8,34.6877,1.05338,0.79753,1.0502,0.80556,0.63256,0.84068,0.57699,1.06205,1.22599,1.01121,0.0009035,0.0009035,0.0009035
9,38.6422,1.01158,0.78111,1.0339,0.95461,0.74873,0.92196,0.63445,1.04523,0.9632,1.05488,0.000854,0.000854,0.000854
10,42.5553,1.02486,0.77963,1.04826,0.8518,0.78659,0.92168,0.63101,1.07839,0.98512,1.06754,0.0008045,0.0008045,0.0008045
11,46.4923,0.98112,0.7372,1.0327,0.88084,0.76544,0.85557,0.61218,1.01509,1.17224,1.0583,0.000755,0.000755,0.000755
12,50.3823,0.95821,0.68642,1.02458,0.88442,0.84459,0.91516,0.65463,1.02059,0.97614,1.02883,0.0007055,0.0007055,0.0007055
13,54.3288,0.97777,0.66328,1.01434,0.85611,0.88513,0.91483,0.64313,1.03211,1.01977,1.04748,0.000656,0.000656,0.000656
14,58.2371,0.93289,0.68124,1.0196,0.90065,0.80599,0.88704,0.62599,1.02448,1.20187,1.0495,0.0006065,0.0006065,0.0006065
15,62.1257,0.96316,0.67127,1.01045,0.90051,0.85447,0.94154,0.67786,0.99284,0.95537,1.05542,0.000557,0.000557,0.000557
16,82.9654,0.87398,1.17871,0.94164,0.93723,0.77933,0.92403,0.65412,1.01581,0.85905,1.07726,0.0005075,0.0005075,0.0005075
17,86.8027,0.83868,0.91984,0.93388,0.84917,0.77874,0.8856,0.62622,1.01542,0.98786,1.07675,0.000458,0.000458,0.000458
18,90.691,0.83138,0.82765,0.93783,0.8196,0.77975,0.84404,0.58887,1.03466,1.36264,1.07295,0.0004085,0.0004085,0.0004085
19,94.5625,0.85965,0.57022,0.96565,0.86923,0.76405,0.88639,0.63061,1.00606,1.01809,1.04736,0.000359,0.000359,0.000359
20,98.4399,0.87606,0.58331,0.96872,0.93104,0.82318,0.90411,0.64922,1.00711,0.95115,1.03968,0.0003095,0.0003095,0.0003095
21,102.271,0.84197,0.51518,0.96819,0.94477,0.81508,0.89555,0.64421,0.99979,1.08042,1.04893,0.00026,0.00026,0.00026
22,106.173,0.83574,0.51523,0.978,0.97464,0.77903,0.88882,0.64517,0.99625,1.20475,1.04043,0.0002105,0.0002105,0.0002105
23,110.024,0.82526,0.4922,0.97326,0.96431,0.76151,0.88031,0.65059,0.97025,1.33904,1.03004,0.000161,0.000161,0.000161
24,113.91,0.82177,0.48422,0.94957,0.97736,0.78484,0.87772,0.64353,0.96289,1.30926,1.03213,0.0001115,0.0001115,0.0001115
25,117.748,0.77974,0.46154,0.95643,0.96366,0.76986,0.87707,0.64667,0.95829,1.30788,1.02867,6.2e-05,6.2e-05,6.2e-05
