epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.44305,1.04734,3.09826,1.1317,0.72589,0.70385,0.88908,0.6235,0.81138,2.40509,1.02617,0.0002125,0.0002125,0.0002125
2,8.49603,0.90688,1.35006,1.01509,0.77601,0.83604,0.87727,0.62036,0.85845,1.06885,0.98992,0.000420213,0.000420213,0.000420213
3,12.4536,0.8901,1.04729,1.01627,0.92637,0.85985,0.94354,0.67785,0.84853,0.82777,0.95792,0.000610146,0.000610146,0.000610146
4,16.4212,0.85424,0.96995,0.99963,0.70109,0.7963,0.71669,0.5328,0.85169,1.75094,0.96165,0.000782297,0.000782297,0.000782297
5,20.3459,0.90248,0.86368,1.01102,0.86018,0.70888,0.84863,0.59235,0.88457,0.9935,0.98088,0.000936668,0.000936668,0.000936668
6,24.269,0.86755,0.88065,0.99648,0.82999,0.85571,0.88886,0.62666,0.83534,0.88107,0.96851,0.00100305,0.00100305,0.00100305
7,28.1983,0.83099,0.78235,0.98545,0.93036,0.87013,0.95741,0.69058,0.79977,0.69625,0.95148,0.000953654,0.000953654,0.000953654
8,32.1483,0.87351,0.82183,1.01136,0.86705,0.78988,0.83438,0.59613,0.85336,1.24295,0.99043,0.000904263,0.000904263,0.000904263
9,36.0486,0.82685,0.74125,0.99199,0.88691,0.81135,0.84959,0.60229,0.85928,1.1935,0.98111,0.000854872,0.000854872,0.000854872
10,39.9454,0.83155,0.70287,0.98362,0.92573,0.72471,0.80417,0.57812,0.88697,1.45744,1.02356,0.000805481,0.000805481,0.000805481
11,43.8585,0.82724,0.69245,0.97548,0.88872,0.78235,0.85202,0.61655,0.83271,1.23151,0.95325,0.00075609,0.00075609,0.00075609
12,47.7653,0.81256,0.64232,0.95811,0.8991,0.69255,0.83263,0.60179,0.83659,1.22566,0.97226,0.000706699,0.000706699,0.000706699
13,51.6521,0.77904,0.64559,0.96063,0.91236,0.76511,0.89548,0.65594,0.80067,0.97168,0.94974,0.000657308,0.000657308,0.000657308
14,55.5717,0.76735,0.60717,0.95254,0.8646,0.73786,0.82854,0.59066,0.81674,1.29536,0.96142,0.000607917,0.000607917,0.000607917
15,59.8943,0.76486,0.58754,0.96868,0.92635,0.80922,0.91095,0.66508,0.82089,0.95453,0.94444,0.000558526,0.000558526,0.000558526
16,81.403,0.70668,1.1695,0.90494,0.95504,0.79908,0.85936,0.63434,0.84346,1.16698,0.98883,0.000509135,0.000509135,0.000509135
17,85.2357,0.69839,0.94515,0.88713,0.91211,0.77372,0.83134,0.60237,0.85783,1.18721,0.98823,0.000459744,0.000459744,0.000459744
18,89.1112,0.69064,1.01423,0.89291,0.95405,0.77004,0.83922,0.61568,0.8179,1.16361,0.94425,0.000410353,0.000410353,0.000410353
19,93.1304,0.70186,0.51013,0.94646,0.97227,0.77219,0.85903,0.61843,0.84082,1.06784,0.94894,0.000360962,0.000360962,0.000360962
20,96.9999,0.72297,0.56193,0.93594,0.95602,0.78021,0.86432,0.63704,0.78965,1.10909,0.93412,0.000311571,0.000311571,0.000311571
21,100.825,0.69588,0.45962,0.92888,0.9669,0.77858,0.88643,0.66504,0.77503,0.98306,0.9294,0.00026218,0.00026218,0.00026218
22,104.812,0.70398,0.55824,0.94983,0.98053,0.76379,0.87241,0.65604,0.78229,1.17528,0.93274,0.000212789,0.000212789,0.000212789
23,108.676,0.69406,0.45755,0.94184,0.96458,0.72522,0.85916,0.64639,0.78914,1.34734,0.94117,0.000163398,0.000163398,0.000163398
24,112.839,0.67107,0.44556,0.91402,0.94966,0.69443,0.84258,0.6379,0.79349,1.40961,0.94309,0.000114007,0.000114007,0.000114007
25,117.074,0.6519,0.42975,0.91707,0.97283,0.6947,0.83638,0.63743,0.79229,1.41224,0.94261,6.4616e-05,6.4616e-05,6.4616e-05
