epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57798,1.49624,2.32061,1.34848,0.76011,0.76275,0.83037,0.5821,1.24755,1.51364,1.22383,0.0002125,0.0002125,0.0002125
2,8.65263,1.34604,1.07574,1.2495,0.83269,0.80595,0.89847,0.61368,1.25954,0.95413,1.20704,0.000420149,0.000420149,0.000420149
3,12.6499,1.3147,0.91816,1.28296,0.70299,0.79918,0.84535,0.57692,1.29848,0.97456,1.2669,0.000609952,0.000609952,0.000609952
4,16.5919,1.28794,0.8413,1.29057,0.75224,0.58545,0.76892,0.49854,1.45997,1.24751,1.31471,0.000781907,0.000781907,0.000781907
5,20.5084,1.29138,0.80691,1.28888,0.86853,0.93209,0.95612,0.64295,1.32113,0.71409,1.28961,0.000936017,0.000936017,0.000936017
6,24.4669,1.27922,0.74066,1.28734,0.93522,0.89082,0.94127,0.63811,1.32796,0.69426,1.27299,0.00100213,0.00100213,0.00100213
7,28.3084,1.24501,0.68758,1.23995,0.95517,0.78947,0.91718,0.62496,1.28467,0.84961,1.29466,0.000952556,0.000952556,0.000952556
8,32.1843,1.22922,0.66588,1.26464,0.92305,0.82489,0.92108,0.62419,1.31741,0.85556,1.28149,0.000902982,0.000902982,0.000902982
9,36.0872,1.24217,0.65933,1.29924,0.95713,0.84435,0.93714,0.64207,1.30577,0.74019,1.29301,0.000853408,0.000853408,0.000853408
10,39.9668,1.22356,0.64377,1.28298,0.8071,0.79341,0.86034,0.63668,1.22883,1.00324,1.231,0.000803834,0.000803834,0.000803834
11,43.872,1.23332,0.68797,1.26244,0.80638,0.87157,0.92898,0.65887,1.26144,0.8041,1.25261,0.00075426,0.00075426,0.00075426
12,47.8212,1.1296,0.63089,1.23795,0.92305,0.83116,0.90049,0.63868,1.27658,0.77215,1.27024,0.000704686,0.000704686,0.000704686
13,51.7031,1.15991,0.57646,1.25648,0.86365,0.76708,0.85303,0.61089,1.25653,1.02286,1.27222,0.000655112,0.000655112,0.000655112
14,55.6035,1.11333,0.55646,1.22012,0.98162,0.80497,0.92348,0.66223,1.24691,0.89247,1.29007,0.000605538,0.000605538,0.000605538
15,59.5739,1.16164,0.55847,1.25224,0.91403,0.86385,0.92055,0.64198,1.30732,0.9094,1.31128,0.000555964,0.000555964,0.000555964
16,80.532,1.04626,0.85978,1.14483,0.988,0.82664,0.91278,0.65683,1.225,0.89185,1.26996,0.00050639,0.00050639,0.00050639
17,84.3611,1.02362,0.84866,1.15299,0.96433,0.83514,0.9,0.66768,1.14584,0.85822,1.22979,0.000456816,0.000456816,0.000456816
18,88.3031,1.00577,0.59168,1.13856,0.94777,0.79049,0.85808,0.62886,1.16578,1.00862,1.25072,0.000407242,0.000407242,0.000407242
19,92.1604,1.00201,0.44501,1.18361,0.96018,0.79218,0.88448,0.64616,1.17572,0.90659,1.24141,0.000357668,0.000357668,0.000357668
20,96.0247,1.02641,0.42826,1.17559,0.90956,0.79936,0.85871,0.63097,1.20303,1.06059,1.26559,0.000308094,0.000308094,0.000308094
21,99.8437,1.0283,0.42994,1.19358,0.96002,0.78423,0.86949,0.6445,1.19608,1.05457,1.25787,0.00025852,0.00025852,0.00025852
22,103.728,0.99741,0.45312,1.18327,0.96354,0.80816,0.87671,0.64807,1.20614,1.04403,1.26303,0.000208946,0.000208946,0.000208946
23,107.563,0.99953,0.41702,1.18751,0.95699,0.77681,0.86882,0.64724,1.2033,1.06291,1.2508,0.000159372,0.000159372,0.000159372
24,111.46,0.96818,0.3957,1.15687,0.95284,0.76355,0.85628,0.64182,1.20075,1.10784,1.25367,0.000109798,0.000109798,0.000109798
25,115.292,0.94735,0.38801,1.16392,0.94369,0.76427,0.85705,0.64548,1.20552,1.10893,1.26178,6.0224e-05,6.0224e-05,6.0224e-05
