epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.4715,1.25638,3.31152,1.29306,0.62262,0.7451,0.80897,0.55708,0.98773,2.35202,1.18056,0.0002125,0.0002125,0.0002125
2,8.5452,1.13151,1.4578,1.23413,0.85236,0.86002,0.94495,0.65309,1.05242,1.01612,1.1804,0.000420211,0.000420211,0.000420211
3,12.5665,1.06757,1.15981,1.19734,0.8241,0.79449,0.91068,0.62347,1.10977,1.17986,1.2646,0.000610139,0.000610139,0.000610139
4,16.4903,1.06548,1.04586,1.21982,0.85928,0.76565,0.87237,0.60445,1.11203,1.13124,1.25029,0.000782284,0.000782284,0.000782284
5,20.4055,1.07292,0.9555,1.21345,0.78391,0.71739,0.80976,0.54767,1.13054,1.38412,1.25318,0.000936647,0.000936647,0.000936647
6,24.3529,1.07327,0.91974,1.22515,0.71314,0.57989,0.70267,0.48159,1.09279,1.48896,1.26669,0.00100302,0.00100302,0.00100302
7,28.4079,1.04441,0.92607,1.2061,0.79211,0.80998,0.87645,0.58462,1.10093,1.09425,1.26961,0.000953618,0.000953618,0.000953618
8,32.3817,1.02202,0.84312,1.19938,0.96556,0.86847,0.96264,0.66033,1.07547,0.81434,1.30805,0.000904221,0.000904221,0.000904221
9,36.3465,1.00191,0.81529,1.20851,0.7849,0.76794,0.84561,0.5746,1.09118,1.13529,1.31203,0.000854824,0.000854824,0.000854824
10,40.2288,1.00078,0.83558,1.20236,0.78521,0.79913,0.88157,0.5996,1.15181,1.17231,1.33011,0.000805427,0.000805427,0.000805427
11,44.2062,0.99586,0.75761,1.20497,0.90936,0.78682,0.91473,0.66193,1.00637,0.93501,1.21383,0.00075603,0.00075603,0.00075603
12,48.2689,0.98921,0.7663,1.19552,0.89231,0.88015,0.93394,0.66744,1.01413,0.92438,1.23716,0.000706633,0.000706633,0.000706633
13,52.2268,0.98957,0.77895,1.20452,0.89652,0.84718,0.93365,0.67569,0.98421,0.88183,1.23009,0.000657236,0.000657236,0.000657236
14,56.2216,0.96838,0.69201,1.17394,0.91807,0.7833,0.87717,0.63313,0.99391,1.16993,1.22283,0.000607839,0.000607839,0.000607839
15,60.1308,0.95413,0.68316,1.19017,0.95368,0.77147,0.88316,0.64549,0.98789,1.20626,1.22358,0.000558442,0.000558442,0.000558442
16,81.0934,0.89041,1.40551,1.13202,0.92835,0.7739,0.86373,0.60032,1.03745,1.19795,1.24982,0.000509045,0.000509045,0.000509045
17,84.9385,0.85352,1.13601,1.12405,0.9335,0.84009,0.90824,0.65643,0.99893,0.94539,1.23075,0.000459648,0.000459648,0.000459648
18,88.8952,0.85119,1.03565,1.1171,0.93128,0.78123,0.87097,0.62014,1.00548,1.21808,1.22591,0.000410251,0.000410251,0.000410251
19,92.7567,0.86867,0.58331,1.13977,0.97303,0.8088,0.94333,0.68487,1.00223,0.90416,1.22031,0.000360854,0.000360854,0.000360854
20,96.6574,0.86667,0.59555,1.13749,0.99333,0.75926,0.89522,0.66035,0.99067,1.07956,1.21126,0.000311457,0.000311457,0.000311457
21,100.639,0.86515,0.5414,1.14151,0.95823,0.77284,0.87933,0.64725,1.01075,1.23519,1.24646,0.00026206,0.00026206,0.00026206
22,104.49,0.83746,0.57813,1.14065,0.95466,0.79675,0.88863,0.652,0.99088,1.20722,1.21645,0.000212663,0.000212663,0.000212663
23,108.341,0.86226,0.53277,1.15385,0.95052,0.77036,0.89833,0.67011,0.97896,1.11334,1.21351,0.000163266,0.000163266,0.000163266
24,112.195,0.82968,0.4978,1.12016,0.96357,0.7941,0.88289,0.66385,0.97383,1.13095,1.20751,0.000113869,0.000113869,0.000113869
25,116.088,0.7975,0.4826,1.12968,0.9801,0.79164,0.8769,0.65796,0.96103,1.14801,1.20318,6.4472e-05,6.4472e-05,6.4472e-05
