epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.72272,1.27871,2.47926,1.17163,0.75428,0.74342,0.83989,0.57094,1.08193,2.13046,1.09207,0.0002125,0.0002125,0.0002125
2,8.80688,1.0805,1.09039,1.05239,0.87079,0.90194,0.96664,0.65256,1.10218,1.02762,1.08335,0.000420184,0.000420184,0.000420184
3,12.8008,1.12781,0.99049,1.09659,0.88477,0.78413,0.89834,0.60949,1.08313,0.8909,1.05955,0.000610058,0.000610058,0.000610058
4,16.753,1.08749,0.91687,1.09228,0.82463,0.82023,0.9011,0.61109,1.12324,0.91528,1.08027,0.000782121,0.000782121,0.000782121
5,20.6635,1.06466,0.7875,1.09343,0.84805,0.88442,0.95234,0.65899,1.1048,0.77949,1.11648,0.000936374,0.000936374,0.000936374
6,24.6284,1.06998,0.74204,1.09495,0.92272,0.94337,0.97839,0.65471,1.15899,0.73587,1.10697,0.00100263,0.00100263,0.00100263
7,28.4935,1.06447,0.72899,1.09326,0.97525,0.834,0.92115,0.64355,1.07232,0.76407,1.08727,0.000953159,0.000953159,0.000953159
8,32.3949,0.97691,1.10753,1.0094,0.83551,0.67848,0.79411,0.55169,1.08979,1.20114,1.11139,0.000903685,0.000903685,0.000903685
9,36.3073,1.03972,0.77591,1.11963,0.88638,0.77147,0.88241,0.59207,1.11474,0.89709,1.12265,0.000854212,0.000854212,0.000854212
10,40.234,0.9949,0.69873,1.08269,0.71962,0.82765,0.8757,0.61547,1.05313,0.83858,1.08262,0.000804738,0.000804738,0.000804738
11,44.1011,0.99965,0.66117,1.07241,0.91817,0.80973,0.90215,0.6262,1.10717,0.80317,1.13009,0.000755265,0.000755265,0.000755265
12,47.9797,1.02941,0.62404,1.11276,0.87269,0.93709,0.96563,0.70038,1.00514,0.65242,1.09828,0.000705792,0.000705792,0.000705792
13,51.9326,0.95125,0.69633,1.0318,0.93076,0.83979,0.90003,0.64051,1.06742,0.8437,1.10483,0.000656318,0.000656318,0.000656318
14,55.8298,0.97381,0.5714,1.07827,0.94602,0.77572,0.88759,0.63331,1.05526,0.89327,1.10957,0.000606845,0.000606845,0.000606845
15,59.7493,0.95659,0.55392,1.05949,0.94212,0.77189,0.88441,0.64132,1.0159,0.91629,1.08738,0.000557371,0.000557371,0.000557371
16,80.7381,0.86734,1.06921,0.99098,0.89041,0.79997,0.86522,0.61923,0.99242,0.88347,1.08014,0.000507898,0.000507898,0.000507898
17,84.5691,0.8424,0.85119,0.98295,0.90512,0.807,0.87316,0.62498,1.03229,0.90838,1.09157,0.000458424,0.000458424,0.000458424
18,88.471,0.8309,0.92785,0.99147,0.88705,0.74873,0.84809,0.60853,1.01442,1.04551,1.11084,0.00040895,0.00040895,0.00040895
19,92.3337,0.86312,0.48262,1.0367,0.92268,0.72248,0.8551,0.60443,1.0418,1.01539,1.12114,0.000359477,0.000359477,0.000359477
20,96.2089,0.8614,0.49036,1.01091,0.90241,0.7894,0.8669,0.63019,1.01424,0.94384,1.08713,0.000310004,0.000310004,0.000310004
21,100.074,0.83255,0.42326,1.02835,0.91045,0.77991,0.85655,0.62526,0.98465,0.98303,1.07214,0.00026053,0.00026053,0.00026053
22,103.949,0.8352,0.51767,1.02279,0.9634,0.78213,0.85761,0.62825,0.99301,1.0008,1.07513,0.000211057,0.000211057,0.000211057
23,107.797,0.84245,0.41792,1.03519,0.95127,0.76375,0.85342,0.62819,0.98493,1.05985,1.07748,0.000161583,0.000161583,0.000161583
24,111.691,0.80811,0.4098,0.99194,0.94539,0.77183,0.85967,0.62744,0.98782,1.07659,1.0804,0.000112109,0.000112109,0.000112109
25,115.532,0.78127,0.39736,0.99374,0.94626,0.78173,0.86044,0.62966,0.97947,1.06331,1.07709,6.2636e-05,6.2636e-05,6.2636e-05
