epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.44943,1.27051,3.11177,1.17036,0.7927,0.70054,0.8532,0.59329,0.95146,2.6698,1.04725,0.0002125,0.0002125,0.0002125
2,8.60369,1.08267,1.39868,1.07891,0.73795,0.80769,0.8558,0.59399,1.0019,1.16451,1.01123,0.000420166,0.000420166,0.000420166
3,12.605,1.05113,1.06797,1.05619,0.83072,0.94989,0.95059,0.67376,0.99437,1.0106,0.98921,0.000610002,0.000610002,0.000610002
4,16.6157,1.01504,0.99988,1.0391,0.54497,0.8234,0.53902,0.39477,1.05727,5.58557,1.00789,0.000782009,0.000782009,0.000782009
5,20.5298,1.02888,0.89128,1.02703,0.84214,0.81757,0.91439,0.63016,1.05568,0.99872,1.01931,0.000936186,0.000936186,0.000936186
6,24.46,1.00719,0.87163,1.02497,0.79121,0.80964,0.88313,0.59418,1.04751,0.9486,1.02546,0.00100237,0.00100237,0.00100237
7,28.3046,1.0053,0.76655,1.02828,0.78213,0.78516,0.81851,0.56111,1.09126,1.31065,1.09357,0.000952841,0.000952841,0.000952841
8,32.2058,1.00076,0.75147,1.0351,0.83061,0.72089,0.81347,0.55281,1.08551,1.16122,1.04827,0.000903314,0.000903314,0.000903314
9,36.1038,0.97904,0.7532,1.01329,0.84141,0.7768,0.83015,0.58522,0.99699,1.17871,0.99205,0.000853788,0.000853788,0.000853788
10,39.9837,0.96113,0.69609,1.00273,0.91873,0.78273,0.828,0.59131,1.00094,1.16146,0.99298,0.000804262,0.000804262,0.000804262
11,43.8966,0.96644,0.67852,1.00075,0.8857,0.73787,0.8508,0.60781,1.00859,1.13017,1.0095,0.000754735,0.000754735,0.000754735
12,47.8117,0.96936,0.67469,1.00856,0.82512,0.68404,0.86103,0.62598,0.98013,1.1821,0.99786,0.000705209,0.000705209,0.000705209
13,51.7407,0.92419,0.63372,0.99254,0.89768,0.72805,0.80206,0.59323,1.01431,1.46344,1.02594,0.000655682,0.000655682,0.000655682
14,55.637,0.9114,0.62099,0.99011,0.93288,0.79894,0.85971,0.63692,0.99479,1.05354,1.00136,0.000606155,0.000606155,0.000606155
15,59.5464,0.90079,0.59968,0.98495,0.91724,0.75042,0.86081,0.63316,0.99569,1.14873,1.00418,0.000556629,0.000556629,0.000556629
16,80.6114,0.83772,1.58857,0.91821,0.97879,0.75077,0.83943,0.61013,1.01245,1.1572,1.02144,0.000507103,0.000507103,0.000507103
17,84.4265,0.81171,0.90642,0.89926,0.98786,0.74866,0.84915,0.63188,0.96621,1.12378,1.00429,0.000457576,0.000457576,0.000457576
18,88.3373,0.80251,0.90909,0.91043,0.9743,0.73591,0.81981,0.61174,0.92618,1.3028,0.96763,0.000408049,0.000408049,0.000408049
19,92.2263,0.85469,0.50978,0.95996,0.94066,0.75445,0.86855,0.64331,0.94538,1.11056,0.9666,0.000358523,0.000358523,0.000358523
20,96.079,0.83778,0.50913,0.94163,0.88696,0.77572,0.82574,0.61781,0.9734,1.23793,1.01263,0.000308997,0.000308997,0.000308997
21,100.124,0.79808,0.44862,0.95096,0.90389,0.68887,0.77521,0.58318,0.97967,1.48835,1.02333,0.00025947,0.00025947,0.00025947
22,104.152,0.82011,0.53778,0.95809,0.91071,0.72347,0.81401,0.60577,0.95494,1.35468,1.01374,0.000209944,0.000209944,0.000209944
23,108.034,0.78761,0.44589,0.94873,0.92617,0.71807,0.82559,0.61551,0.95831,1.37385,0.99562,0.000160417,0.000160417,0.000160417
24,111.927,0.76909,0.43815,0.92256,0.89525,0.7144,0.81213,0.60778,0.96357,1.48397,0.98927,0.00011089,0.00011089,0.00011089
25,115.85,0.75157,0.43714,0.93023,0.89797,0.70415,0.80953,0.60517,0.95781,1.52143,0.99097,6.1364e-05,6.1364e-05,6.1364e-05
