epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.32959,1.41482,3.49411,1.24192,0.77828,0.85779,0.87474,0.60961,1.1349,2.21983,1.15765,0.0002125,0.0002125,0.0002125
2,8.33986,1.29001,1.49582,1.17716,0.87041,0.70793,0.86206,0.55351,1.25822,1.7781,1.15826,0.000420143,0.000420143,0.000420143
3,12.3068,1.20465,1.27297,1.1447,0.87917,0.91084,0.95874,0.67837,1.10841,1.2411,1.05436,0.000609934,0.000609934,0.000609934
4,16.246,1.18121,1.10628,1.11329,0.88764,0.84727,0.91728,0.6092,1.2745,1.03462,1.10928,0.000781872,0.000781872,0.000781872
5,20.1564,1.1661,1.04126,1.13649,0.87793,0.80906,0.92912,0.65124,1.14145,1.04034,1.08221,0.000935958,0.000935958,0.000935958
6,24.029,1.16381,0.94532,1.10963,0.80243,0.7917,0.84511,0.592,1.25182,1.3405,1.14425,0.00100205,0.00100205,0.00100205
7,27.8962,1.12855,0.95157,1.10095,0.81963,0.75703,0.82226,0.59251,1.17888,1.37394,1.11727,0.000952457,0.000952457,0.000952457
8,31.7642,1.12852,0.87464,1.08217,0.82194,0.64381,0.76891,0.54464,1.24263,1.98967,1.14581,0.000902866,0.000902866,0.000902866
9,35.6426,1.13293,0.80442,1.09594,0.8545,0.75191,0.80648,0.60156,1.19885,1.29216,1.13499,0.000853276,0.000853276,0.000853276
10,39.5133,1.17,0.92724,1.12664,0.94942,0.7863,0.8613,0.61387,1.18633,1.05058,1.12553,0.000803686,0.000803686,0.000803686
11,43.3971,1.12077,0.79277,1.09746,0.8738,0.70624,0.84114,0.61631,1.12176,1.10176,1.0725,0.000754095,0.000754095,0.000754095
12,47.2783,1.06163,0.71715,1.09314,0.90049,0.77882,0.85636,0.63144,1.0974,1.1675,1.06728,0.000704505,0.000704505,0.000704505
13,51.1915,1.08734,0.74518,1.09271,0.8108,0.74314,0.86717,0.63063,1.11833,1.23806,1.07154,0.000654914,0.000654914,0.000654914
14,55.105,1.05927,0.68611,1.06658,0.89484,0.77149,0.86793,0.62625,1.16348,1.30324,1.11419,0.000605323,0.000605323,0.000605323
15,59.0235,1.03923,0.67719,1.06939,0.89078,0.80047,0.899,0.67436,1.05749,1.12538,1.06599,0.000555733,0.000555733,0.000555733
16,80.3967,0.97234,1.57698,1.01085,0.95483,0.80268,0.85802,0.63575,1.15184,1.21924,1.10065,0.000506142,0.000506142,0.000506142
17,84.2671,0.9214,1.20481,0.99419,0.8867,0.76177,0.82451,0.62318,1.13579,1.2131,1.08278,0.000456552,0.000456552,0.000456552
18,88.1029,0.92232,1.24114,0.99466,0.89216,0.75778,0.81942,0.61212,1.10403,1.27553,1.04788,0.000406961,0.000406961,0.000406961
19,91.986,0.94545,0.57096,1.04301,0.94273,0.80552,0.88238,0.65036,1.11808,1.05784,1.06313,0.000357371,0.000357371,0.000357371
20,95.8583,0.95895,0.60119,1.03803,0.94444,0.69638,0.79957,0.60814,1.14654,1.34221,1.08078,0.00030778,0.00030778,0.00030778
21,99.7031,0.92536,0.51698,1.02486,0.98743,0.74012,0.83049,0.62495,1.15157,1.1976,1.07931,0.00025819,0.00025819,0.00025819
22,103.55,0.93144,0.55895,1.04876,0.98013,0.74873,0.84429,0.63525,1.15936,1.23824,1.08978,0.0002086,0.0002086,0.0002086
23,107.496,0.91785,0.52119,1.04029,0.98841,0.73587,0.85385,0.63469,1.11084,1.29662,1.06618,0.000159009,0.000159009,0.000159009
24,111.402,0.90657,0.49482,1.0155,0.9468,0.74872,0.84889,0.63152,1.11803,1.3058,1.06154,0.000109418,0.000109418,0.000109418
25,115.256,0.87801,0.47416,1.01917,0.99272,0.70331,0.83627,0.62286,1.11322,1.36837,1.06546,5.9828e-05,5.9828e-05,5.9828e-05
