epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49138,1.16265,3.30799,1.14278,0.67141,0.75552,0.82108,0.55792,0.98687,3.10532,1.08802,0.0002125,0.0002125,0.0002125
2,8.53549,1.02578,1.48957,1.06136,0.86421,0.76227,0.92903,0.63289,1.00097,1.07452,1.02113,0.000420179,0.000420179,0.000420179
3,12.5988,0.99803,1.20918,1.05351,0.78419,0.7866,0.90545,0.65162,0.91342,1.20677,0.99359,0.000610042,0.000610042,0.000610042
4,16.5389,0.9846,1.06895,1.0693,0.60708,0.75662,0.78885,0.54143,0.97555,1.44512,1.06062,0.000782089,0.000782089,0.000782089
5,20.4175,0.97148,1.04547,1.0403,0.66454,0.77014,0.72345,0.50057,0.99755,1.32205,1.00883,0.000936321,0.000936321,0.000936321
6,24.2847,0.96686,0.89056,1.00955,0.609,0.57449,0.62146,0.43247,1.01829,1.60317,1.01563,0.00100256,0.00100256,0.00100256
7,28.1535,0.95037,0.88951,1.00484,0.89108,0.90368,0.95077,0.66767,0.94807,0.79537,1.01397,0.000953069,0.000953069,0.000953069
8,32.0741,0.92426,0.80441,1.00261,0.93609,0.85035,0.92334,0.68549,0.89441,0.87115,0.98136,0.00090358,0.00090358,0.00090358
9,36.0808,0.91321,0.79296,1.01154,0.86088,0.84086,0.8895,0.6442,0.92029,0.92498,0.99701,0.000854092,0.000854092,0.000854092
10,40.1102,0.90041,0.76247,1.00078,0.93918,0.81892,0.87957,0.62691,0.9853,1.0034,1.05972,0.000804604,0.000804604,0.000804604
11,44.0111,0.83804,0.80248,0.95221,0.81895,0.84329,0.90975,0.65114,0.92439,0.98624,0.98836,0.000755115,0.000755115,0.000755115
12,47.9033,0.87034,0.68766,0.97971,0.91304,0.83952,0.93942,0.66971,0.90816,0.79672,0.98766,0.000705627,0.000705627,0.000705627
13,51.7685,0.88623,0.7685,1.00617,0.902,0.75994,0.89014,0.64594,0.93493,1.00859,0.9782,0.000656138,0.000656138,0.000656138
14,55.95,0.87691,0.70937,0.99882,0.89944,0.78955,0.86937,0.64071,0.90177,1.14228,0.97748,0.00060665,0.00060665,0.00060665
15,59.8945,0.86746,0.66784,0.98644,0.90261,0.79395,0.89554,0.65599,0.88669,1.06333,0.97331,0.000557161,0.000557161,0.000557161
16,81.2116,0.79785,1.26826,0.93537,0.88574,0.78938,0.86537,0.62474,0.92645,1.13791,1.00653,0.000507673,0.000507673,0.000507673
17,85.1238,0.76981,1.46875,0.92567,0.8745,0.80147,0.88004,0.64202,0.90852,1.03582,0.98963,0.000458184,0.000458184,0.000458184
18,88.9942,0.77148,1.1066,0.92874,0.98365,0.75872,0.82646,0.62374,0.94272,1.37481,1.02161,0.000408695,0.000408695,0.000408695
19,92.8391,0.78524,0.58378,0.97149,0.94751,0.78105,0.8844,0.65614,0.92833,1.11019,1.00164,0.000359207,0.000359207,0.000359207
20,96.6762,0.78909,0.59833,0.97091,0.95866,0.77689,0.8501,0.64683,0.89492,1.12656,0.98012,0.000309719,0.000309719,0.000309719
21,100.51,0.77331,0.51452,0.96329,0.95151,0.7543,0.84631,0.63498,0.88249,1.16587,0.98105,0.00026023,0.00026023,0.00026023
22,104.387,0.77101,0.52757,0.98446,0.92159,0.81368,0.88925,0.65622,0.90891,1.0532,0.98674,0.000210742,0.000210742,0.000210742
23,108.213,0.7749,0.50693,0.97477,0.9342,0.8009,0.88756,0.65567,0.92447,1.14197,0.99635,0.000161253,0.000161253,0.000161253
24,112.054,0.76249,0.48923,0.94769,0.9258,0.78314,0.88241,0.66155,0.91407,1.18303,0.98883,0.000111764,0.000111764,0.000111764
25,115.944,0.73567,0.45844,0.94514,0.93833,0.7682,0.87775,0.65582,0.90255,1.18205,0.98544,6.2276e-05,6.2276e-05,6.2276e-05
