epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.57505,1.40009,2.38359,1.22275,0.78282,0.64618,0.82737,0.56709,1.15892,1.99725,1.13679,0.0002125,0.0002125,0.0002125
2,8.63823,1.24004,1.15146,1.13408,0.87832,0.84361,0.90611,0.63181,1.18361,0.80957,1.10482,0.000420149,0.000420149,0.000420149
3,12.6366,1.25691,0.94657,1.15407,0.86383,0.79557,0.88878,0.62033,1.16102,0.83388,1.13379,0.000609952,0.000609952,0.000609952
4,16.5537,1.19456,0.83916,1.15976,0.95291,0.79029,0.9456,0.64821,1.17557,0.74307,1.09545,0.000781907,0.000781907,0.000781907
5,20.4821,1.19048,0.78843,1.12043,0.93702,0.88422,0.95016,0.65838,1.19156,0.72894,1.08302,0.000936017,0.000936017,0.000936017
6,24.4651,1.16253,0.75385,1.12044,0.7559,0.85692,0.90971,0.63992,1.13908,0.77826,1.06959,0.00100213,0.00100213,0.00100213
7,28.3188,1.13867,0.67284,1.11798,0.96036,0.89285,0.97796,0.67718,1.19267,0.57891,1.07377,0.000952556,0.000952556,0.000952556
8,32.3073,1.14807,0.73994,1.10022,0.91281,0.82993,0.94265,0.68031,1.10157,0.67697,1.05078,0.000902982,0.000902982,0.000902982
9,36.1922,1.12401,0.68192,1.08011,0.81325,0.72886,0.88939,0.60748,1.18475,0.95929,1.07845,0.000853408,0.000853408,0.000853408
10,40.1078,1.10868,0.59326,1.07678,0.85749,0.814,0.89084,0.64118,1.11627,0.76916,1.03644,0.000803834,0.000803834,0.000803834
11,43.9721,1.0854,0.57025,1.06783,0.94277,0.8524,0.92371,0.67614,1.09729,0.71927,1.04924,0.00075426,0.00075426,0.00075426
12,47.8604,1.09041,0.56757,1.06346,0.78397,0.79069,0.80389,0.58612,1.12422,0.88939,1.06849,0.000704686,0.000704686,0.000704686
13,51.7419,1.04139,0.5268,1.05258,0.91263,0.78038,0.84445,0.62804,1.09313,0.93632,1.04965,0.000655112,0.000655112,0.000655112
14,55.6358,1.02245,0.51465,1.05156,0.91262,0.80205,0.90225,0.64764,1.08476,0.77023,1.02705,0.000605538,0.000605538,0.000605538
15,59.552,1.0158,0.49971,1.04976,0.95022,0.92127,0.98231,0.70188,1.14322,0.51476,1.05329,0.000555964,0.000555964,0.000555964
16,80.6193,0.95488,1.19456,0.98068,0.93967,0.88488,0.92324,0.67045,1.09993,0.66278,1.03945,0.00050639,0.00050639,0.00050639
17,84.4257,0.91299,0.66343,0.96921,0.94808,0.78007,0.88718,0.64354,1.13217,0.89101,1.05351,0.000456816,0.000456816,0.000456816
18,88.3103,0.9173,0.58615,0.96465,0.88534,0.77675,0.82025,0.59692,1.14926,1.03714,1.06537,0.000407242,0.000407242,0.000407242
19,92.1625,0.94227,0.44152,1.01876,0.93015,0.79887,0.88424,0.65293,1.11602,0.84193,1.0589,0.000357668,0.000357668,0.000357668
20,96.0511,0.93728,0.41524,1.01991,0.91586,0.75826,0.85285,0.6315,1.10934,0.86891,1.04822,0.000308094,0.000308094,0.000308094
21,99.8784,0.92228,0.39584,1.01061,0.88534,0.75873,0.83476,0.61918,1.14343,0.97024,1.0679,0.00025852,0.00025852,0.00025852
22,103.778,0.92411,0.39861,1.02988,0.93828,0.75467,0.84383,0.63244,1.121,1.03133,1.05306,0.000208946,0.000208946,0.000208946
23,107.635,0.92788,0.38709,1.01481,0.9374,0.7713,0.84682,0.62708,1.11344,1.06039,1.04784,0.000159372,0.000159372,0.000159372
24,111.501,0.89445,0.37511,0.99325,0.95865,0.76273,0.84728,0.63446,1.11123,1.05425,1.04085,0.000109798,0.000109798,0.000109798
25,115.346,0.87538,0.35301,1.00192,0.97382,0.74921,0.84639,0.63675,1.10629,1.04736,1.04113,6.0224e-05,6.0224e-05,6.0224e-05
