epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30874,1.32944,3.12225,1.1201,0.63764,0.82228,0.90125,0.64294,0.99905,2.2393,0.99326,0.0002125,0.0002125,0.0002125
2,8.39471,1.13821,1.30269,1.00059,0.70946,0.86479,0.73466,0.55224,1.02011,2.72539,0.94214,0.000420182,0.000420182,0.000420182
3,12.4124,1.09605,1.0791,0.99392,0.87966,0.84132,0.92675,0.6763,1.00314,0.93436,0.92625,0.000610052,0.000610052,0.000610052
4,16.3732,1.05951,0.96434,0.96582,0.73188,0.90583,0.87959,0.59205,1.11529,0.91663,0.98541,0.000782109,0.000782109,0.000782109
5,20.2664,1.08261,0.84936,0.96222,0.86329,0.84866,0.92691,0.65799,1.05295,0.83845,0.94497,0.000936353,0.000936353,0.000936353
6,24.3606,1.03992,0.86895,0.95769,0.87016,0.8283,0.88451,0.59888,1.1438,0.96374,0.97204,0.0010026,0.0010026,0.0010026
7,28.254,1.04676,0.77567,0.96604,0.96276,0.88329,0.92693,0.64152,1.12309,0.8021,0.96842,0.000953123,0.000953123,0.000953123
8,32.1587,1.05274,0.8595,0.98022,0.92895,0.75324,0.84704,0.61705,1.07453,1.11402,0.98049,0.000903643,0.000903643,0.000903643
9,36.0111,1.02537,0.79843,0.96699,0.81066,0.82341,0.85201,0.5919,1.14678,1.07184,1.02372,0.000854164,0.000854164,0.000854164
10,39.9272,0.9989,0.73307,0.94467,0.915,0.79522,0.90232,0.64569,1.04395,0.8636,0.92244,0.000804685,0.000804685,0.000804685
11,43.8329,1.02816,0.67387,0.95075,0.89778,0.75273,0.85916,0.60483,1.13848,1.05217,1.00706,0.000755205,0.000755205,0.000755205
12,47.7705,0.99467,0.64558,0.94331,0.93278,0.78451,0.86056,0.61758,1.09978,1.06048,0.97377,0.000705726,0.000705726,0.000705726
13,51.6821,0.96979,0.63506,0.93723,0.97283,0.74864,0.86044,0.63057,1.06359,1.02814,0.96,0.000656246,0.000656246,0.000656246
14,55.6647,0.96859,0.62184,0.93872,0.92592,0.81988,0.88331,0.64112,1.07948,1.05122,0.98519,0.000606766,0.000606766,0.000606766
15,59.5677,0.95741,0.58842,0.94981,0.82116,0.77052,0.84963,0.62121,1.11051,1.18392,1.00699,0.000557287,0.000557287,0.000557287
16,80.575,0.89007,1.7396,0.87619,0.94238,0.82957,0.89772,0.66148,1.08513,1.08649,1.00542,0.000507808,0.000507808,0.000507808
17,84.4136,0.85988,1.00444,0.86693,0.98585,0.78231,0.88718,0.65916,1.07684,1.05397,0.99138,0.000458328,0.000458328,0.000458328
18,88.2924,0.85862,1.06403,0.87036,0.97983,0.73137,0.86132,0.6278,1.07214,1.07107,0.97306,0.000408848,0.000408848,0.000408848
19,92.1526,0.87378,0.56742,0.90654,0.88794,0.7942,0.89774,0.66327,1.02448,0.98131,0.94518,0.000359369,0.000359369,0.000359369
20,96.0145,0.88741,0.58209,0.89375,0.97492,0.73618,0.86757,0.65525,1.01737,1.00308,0.95319,0.000309889,0.000309889,0.000309889
21,99.8308,0.86035,0.47292,0.9033,0.97205,0.78,0.86396,0.66463,0.99864,1.0302,0.94841,0.00026041,0.00026041,0.00026041
22,103.699,0.87885,0.51811,0.91283,0.96314,0.76648,0.85917,0.64607,1.01961,1.10724,0.95171,0.000210931,0.000210931,0.000210931
23,107.541,0.86697,0.46455,0.90826,0.95084,0.75656,0.86487,0.6617,0.99544,1.1114,0.94042,0.000161451,0.000161451,0.000161451
24,111.427,0.84927,0.45894,0.88596,0.95957,0.73326,0.85626,0.64959,1.00275,1.13357,0.94407,0.000111971,0.000111971,0.000111971
25,115.265,0.8182,0.43115,0.89811,0.95098,0.72615,0.85087,0.64442,1.00963,1.16649,0.9491,6.2492e-05,6.2492e-05,6.2492e-05
