epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62978,1.26526,2.50676,1.15327,0.75232,0.78172,0.83786,0.56805,1.01641,2.40581,1.08348,0.0002125,0.0002125,0.0002125
2,8.66574,1.09438,1.12923,1.04946,0.8674,0.88089,0.96592,0.65155,1.07616,0.88869,1.03179,0.000420184,0.000420184,0.000420184
3,12.7148,1.10501,1.00639,1.08459,0.83782,0.84746,0.93578,0.65556,1.04536,0.87586,1.05947,0.000610059,0.000610059,0.000610059
4,16.637,1.09232,0.89748,1.08409,0.77372,0.74742,0.85235,0.56741,1.11333,0.9826,1.08759,0.000782123,0.000782123,0.000782123
5,20.5149,1.07321,0.85615,1.08208,0.69856,0.75086,0.71394,0.47216,1.16322,1.14541,1.12958,0.000936376,0.000936376,0.000936376
6,24.3809,1.03608,0.74077,1.08343,0.87998,0.84866,0.91806,0.62471,1.14814,0.8338,1.1088,0.00100263,0.00100263,0.00100263
7,28.2978,1.06437,0.72177,1.11134,0.81894,0.77912,0.86302,0.56935,1.11962,0.99708,1.14973,0.000953162,0.000953162,0.000953162
8,32.1536,0.96846,1.26736,1.03713,0.77228,0.77962,0.86002,0.60069,1.10144,1.0716,1.15258,0.000903689,0.000903689,0.000903689
9,36.0501,1.04429,0.78945,1.16482,0.79829,0.8005,0.88786,0.60127,1.13674,0.96679,1.20298,0.000854216,0.000854216,0.000854216
10,39.9481,0.98379,0.69584,1.10292,0.83618,0.89244,0.9298,0.66241,1.06539,0.76166,1.14758,0.000804743,0.000804743,0.000804743
11,43.8801,1.00045,0.64044,1.09577,0.93185,0.83559,0.90068,0.64425,1.05514,0.8632,1.1572,0.00075527,0.00075527,0.00075527
12,47.9956,0.99644,0.6273,1.10674,0.90124,0.80925,0.85937,0.62502,1.08619,1.06714,1.17298,0.000705797,0.000705797,0.000705797
13,51.9508,0.93864,0.63736,1.03962,0.88401,0.84093,0.88495,0.61965,1.0788,1.04856,1.14688,0.000656324,0.000656324,0.000656324
14,55.9234,0.95548,0.58107,1.07428,0.908,0.80593,0.88983,0.64063,1.01925,1.02352,1.1051,0.000606851,0.000606851,0.000606851
15,59.806,0.94947,0.57052,1.06032,0.89192,0.85978,0.89584,0.64127,1.03253,0.90897,1.10695,0.000557378,0.000557378,0.000557378
16,80.5136,0.86077,0.90359,0.99656,0.98145,0.86821,0.90977,0.65207,1.02957,0.85345,1.10299,0.000507905,0.000507905,0.000507905
17,84.33,0.83369,0.8306,0.98994,0.96402,0.87104,0.94646,0.67158,1.01593,0.67285,1.10929,0.000458432,0.000458432,0.000458432
18,88.205,0.82105,1.04496,0.99504,0.97642,0.86937,0.95559,0.70572,0.971,0.6108,1.09226,0.000408959,0.000408959,0.000408959
19,92.1701,0.84523,0.48305,1.04235,0.96793,0.82513,0.92272,0.67246,1.00297,0.80308,1.10366,0.000359486,0.000359486,0.000359486
20,96.1079,0.845,0.44983,1.01115,0.94971,0.78657,0.89241,0.65041,0.98069,0.9356,1.0703,0.000310013,0.000310013,0.000310013
21,99.994,0.82451,0.42133,1.02966,0.95245,0.74919,0.86918,0.64001,0.97514,1.04773,1.06596,0.00026054,0.00026054,0.00026054
22,103.844,0.8296,0.43895,1.03702,0.95922,0.75337,0.87402,0.65147,0.94999,1.02809,1.05529,0.000211067,0.000211067,0.000211067
23,107.695,0.81281,0.41939,1.03915,0.94079,0.76253,0.88403,0.65786,0.94877,0.99052,1.05177,0.000161594,0.000161594,0.000161594
24,111.544,0.8017,0.40491,1.00196,0.92477,0.76747,0.88681,0.66217,0.95663,1.0045,1.05807,0.000112121,0.000112121,0.000112121
25,115.742,0.77898,0.39842,1.00633,0.92319,0.76415,0.8721,0.64594,0.96127,1.02912,1.06284,6.2648e-05,6.2648e-05,6.2648e-05
