epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54418,1.2694,3.18504,1.14764,0.69203,0.82822,0.88658,0.62126,1.01536,1.90939,1.02269,0.0002125,0.0002125,0.0002125
2,8.85269,1.1136,1.33914,1.0587,0.84661,0.93958,0.94985,0.65272,1.01978,1.1905,1.00368,0.000420179,0.000420179,0.000420179
3,13.0749,1.0845,1.09991,1.04709,0.93384,0.86298,0.95451,0.70115,0.91874,1.01725,0.96938,0.000610043,0.000610043,0.000610043
4,17.2961,1.0378,1.10162,1.03856,0.83043,0.78784,0.90941,0.61215,1.12509,0.90419,1.04695,0.000782091,0.000782091,0.000782091
5,21.389,1.04656,0.90233,1.02443,0.90291,0.86117,0.92111,0.64425,1.03235,0.81423,1.01535,0.000936323,0.000936323,0.000936323
6,25.5341,1.04011,0.88632,1.00574,0.69623,0.85722,0.86047,0.60354,1.03339,0.94932,1.00812,0.00100256,0.00100256,0.00100256
7,29.736,1.02646,0.82064,1.01992,0.94128,0.93857,0.97794,0.6904,0.99148,0.66477,1.00332,0.000953072,0.000953072,0.000953072
8,33.8345,0.94547,1.35837,0.9577,0.92257,0.76912,0.87223,0.6286,0.96471,1.06528,1.00968,0.000903584,0.000903584,0.000903584
9,38.0452,1.00602,0.77978,1.01866,0.90009,0.83857,0.90998,0.65272,1.01352,0.96794,1.03648,0.000854096,0.000854096,0.000854096
10,42.3355,1.01412,0.7901,1.02967,0.73372,0.76436,0.80143,0.56885,1.05056,1.19276,1.07982,0.000804608,0.000804608,0.000804608
11,46.5567,0.98731,0.75148,1.01278,0.94978,0.77028,0.89814,0.65994,1.01183,1.01271,1.04869,0.00075512,0.00075512,0.00075512
12,50.7834,0.93367,0.68204,0.99224,0.92493,0.80333,0.89694,0.6413,1.05981,0.96873,1.02947,0.000705632,0.000705632,0.000705632
13,54.9389,0.96532,0.64266,1.00927,0.82843,0.79237,0.89027,0.64674,0.99427,1.03369,1.00478,0.000656144,0.000656144,0.000656144
14,58.9631,0.94707,0.6222,0.9936,0.92134,0.76679,0.872,0.64316,1.01016,1.07622,0.99839,0.000606656,0.000606656,0.000606656
15,63.0867,0.92367,0.61087,0.96482,0.94159,0.78769,0.90128,0.6674,0.97065,0.91992,0.97548,0.000557168,0.000557168,0.000557168
16,84.2818,0.86095,1.21559,0.92247,0.93516,0.76116,0.88249,0.63656,1.03252,1.0459,1.01395,0.00050768,0.00050768,0.00050768
17,88.1102,0.83887,0.79829,0.91796,0.92281,0.74945,0.87916,0.64206,0.97145,1.01609,0.97055,0.000458192,0.000458192,0.000458192
18,92.0085,0.83289,0.96445,0.92421,0.90159,0.85797,0.92731,0.67868,0.98131,0.8006,0.97153,0.000408704,0.000408704,0.000408704
19,95.8756,0.84288,0.53352,0.97236,0.93916,0.86846,0.95015,0.69555,0.98813,0.75693,0.97516,0.000359216,0.000359216,0.000359216
20,99.7947,0.863,0.5686,0.96146,0.95172,0.78497,0.87821,0.64976,1.0615,0.98741,1.03842,0.000309728,0.000309728,0.000309728
21,103.615,0.85572,0.47411,0.95358,0.95012,0.76433,0.8339,0.61716,1.05353,1.21146,1.05206,0.00026024,0.00026024,0.00026024
22,107.505,0.85184,0.5284,0.97417,0.93483,0.78418,0.86474,0.63889,0.98774,1.16088,1.01514,0.000210752,0.000210752,0.000210752
23,111.364,0.83592,0.45965,0.95709,0.93369,0.76806,0.86698,0.63415,0.98322,1.14048,0.98446,0.000161264,0.000161264,0.000161264
24,115.271,0.81451,0.45908,0.93482,0.83608,0.75169,0.84931,0.63065,0.98406,1.19806,0.98559,0.000111776,0.000111776,0.000111776
25,119.114,0.77961,0.43123,0.93699,0.85049,0.76017,0.84924,0.63108,0.97902,1.21239,0.98875,6.2288e-05,6.2288e-05,6.2288e-05
