epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49342,1.59406,3.3522,1.19017,0.76905,0.78482,0.90547,0.64399,1.2145,2.71661,1.071,0.0002125,0.0002125,0.0002125
2,8.50498,1.35218,1.45428,1.07547,0.86909,0.77591,0.89919,0.61836,1.29422,1.10267,1.01909,0.000420147,0.000420147,0.000420147
3,12.5076,1.31545,1.12215,1.06217,0.88839,0.87417,0.94622,0.66779,1.3098,1.00507,1.00333,0.000609945,0.000609945,0.000609945
4,16.4708,1.26837,1.05625,1.03289,0.81217,0.80702,0.87717,0.61782,1.26887,1.10798,0.98891,0.000781895,0.000781895,0.000781895
5,20.3657,1.2932,0.93835,1.02525,0.84136,0.87388,0.91505,0.62308,1.34928,0.97042,1.04529,0.000935995,0.000935995,0.000935995
6,24.3633,1.25106,0.92995,1.02967,0.85782,0.81281,0.91862,0.63427,1.31294,0.99611,1.02931,0.0010021,0.0010021,0.0010021
7,28.2335,1.25309,0.82412,1.02692,0.92815,0.90887,0.96028,0.6808,1.26434,0.765,1.00815,0.00095252,0.00095252,0.00095252
8,32.2018,1.25511,0.83413,1.02966,0.87922,0.86859,0.94366,0.69549,1.20698,0.92606,0.98486,0.00090294,0.00090294,0.00090294
9,36.193,1.21265,0.8158,1.01243,0.91264,0.82868,0.87918,0.62857,1.20067,1.20031,0.9856,0.00085336,0.00085336,0.00085336
10,40.1291,1.20675,0.73957,1.02369,0.86736,0.7869,0.89203,0.65673,1.15719,1.05995,0.96756,0.00080378,0.00080378,0.00080378
11,44.0799,1.20569,0.73546,1.01334,0.73941,0.74847,0.82053,0.55868,1.3388,1.29379,1.0107,0.0007542,0.0007542,0.0007542
12,48.0184,1.19142,0.71617,1.00137,0.83972,0.71811,0.8463,0.60005,1.24797,1.26106,0.99623,0.00070462,0.00070462,0.00070462
13,51.9176,1.12564,0.65792,0.98691,0.91179,0.74477,0.84865,0.59828,1.2878,1.15976,1.00108,0.00065504,0.00065504,0.00065504
14,55.814,1.12132,0.65357,0.98363,0.90416,0.73829,0.86799,0.63202,1.23179,1.17646,0.99404,0.00060546,0.00060546,0.00060546
15,59.7648,1.11332,0.64208,0.99315,0.96372,0.81108,0.92083,0.66875,1.23095,1.02968,0.9973,0.00055588,0.00055588,0.00055588
16,80.9305,1.03013,1.89569,0.9208,0.93347,0.84149,0.91413,0.67351,1.19375,0.9807,0.99341,0.0005063,0.0005063,0.0005063
17,84.886,0.99714,1.06655,0.90951,0.94509,0.84816,0.90656,0.66392,1.23049,0.94991,0.99365,0.00045672,0.00045672,0.00045672
18,88.8076,0.99316,1.19392,0.91062,0.95245,0.88201,0.92607,0.69623,1.16287,0.82,0.96867,0.00040714,0.00040714,0.00040714
19,92.7411,1.04437,0.552,0.96348,0.95667,0.86041,0.9359,0.69388,1.1889,0.81982,0.9785,0.00035756,0.00035756,0.00035756
20,96.6621,1.05087,0.56958,0.94038,0.96945,0.80375,0.88694,0.65277,1.22009,1.03228,1.00428,0.00030798,0.00030798,0.00030798
21,100.553,0.99965,0.48566,0.94697,0.98976,0.77387,0.87111,0.65246,1.22235,1.15825,1.00117,0.0002584,0.0002584,0.0002584
22,104.406,0.98547,0.50623,0.9374,0.96933,0.79594,0.87644,0.66137,1.18786,1.16459,0.98039,0.00020882,0.00020882,0.00020882
23,108.306,0.98047,0.49719,0.94991,0.97201,0.78618,0.86854,0.65141,1.20603,1.20429,0.99319,0.00015924,0.00015924,0.00015924
24,112.172,0.96447,0.46258,0.93005,0.9917,0.76785,0.86159,0.64621,1.19077,1.20525,0.98523,0.00010966,0.00010966,0.00010966
25,116.057,0.92952,0.44419,0.93175,0.98412,0.76598,0.86609,0.65231,1.16631,1.19854,0.97716,6.008e-05,6.008e-05,6.008e-05
